user,k,mean_x,mean_y,std_x,std_y,in_1sigma
3613,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
3664,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
5899,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
9268,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
10160,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
10641,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
12453,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
15191,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
17215,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
17409,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
17872,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
18433,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
18465,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
19274,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
19775,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
20702,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
21631,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
21847,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
25622,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
29012,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
30499,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
30520,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
30626,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
31296,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
33074,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
35160,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
39221,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
42509,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
44546,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
45054,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
45497,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
45660,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
54593,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,True
56576,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
59271,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
60489,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
62104,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
64363,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
64422,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
65021,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
65394,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
66953,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
69918,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
71001,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,True
71117,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
74346,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
82059,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
83444,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
86668,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
86839,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
91026,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
91389,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
91729,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
91922,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
93706,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
94875,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
95844,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,True
96406,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
98291,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
99471,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
103330,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
103938,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
105894,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
105954,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
106076,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
108274,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
111029,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
112047,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
117539,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
119328,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
120992,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
121210,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
122880,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
124064,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
125346,0,-1.5721261856296953e-18,9.33243960625843e-17,0.2235919517542525,0.2235919517542516,False
