user,k,mean_x,mean_y,std_x,std_y,in_1sigma
3613,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
3664,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
5899,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
9268,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
10160,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
10641,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
12453,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
15191,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
17215,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
17409,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
17872,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
18433,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
18465,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
19274,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
19775,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
20702,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
21631,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
21847,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
25622,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
29012,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
30499,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
30520,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
30626,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
31296,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
33074,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
35160,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
39221,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
42509,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
44546,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
45054,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
45497,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
45660,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
54593,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,True
56576,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
59271,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
60489,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
62104,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
64363,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
64422,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
65021,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
65394,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
66953,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
69918,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
71001,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,True
71117,0,2.168404344971009e-19,-2.42861286636753e-17,0.5073535489559454,0.5073535489559459,False
