candidateId,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
6,0.17,0.17,0.83,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.0,0.25,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,1.0,1.0,0.75,0.0,1.0,1.0,1.0,1.0,0.25,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,1.0,0.67,0.17,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.75,0.75,0.0,1.0,1.0
17,0.5,0.33,0.17,0.0,0.75,0.0,0.33,0.75,0.0,0.25,0.75,0.25,0.0,0.25,1.0,0.25,0.25,0.25,1.0,0.0,0.75,1.0,0.75,0.0,0.25,0.25,0.0,1.0,0.75,1.0,0.75,0.75,0.25,0.75,0.75,0.75,0.0,0.25,0.75,0.25,1.0,0.75,0.25,0.75,0.75,1.0,0.75,0.0,0.25,1.0,0.25,0.25,0.25,0.25,0.75,0.0,0.25,0.25,0.75,1.0,1.0,0.83,0.33,0.0,0.75,0.75,1.0,0.5,0.5,0.75,1.0,0.5,0.75,1.0,0.75
40,1.0,0.67,0.17,0.25,0.75,0.0,0.5,1.0,1.0,0.25,0.75,0.75,0.0,1.0,1.0,0.75,0.0,0.75,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.75,0.25,1.0,0.25,1.0,0.0,0.25,0.75,1.0,0.75,1.0,0.0,1.0,1.0,0.0,0.25,0.75,0.75,1.0,1.0,1.0,0.25,0.75,0.0,0.75,1.0,1.0,1.0,0.75,0.75,0.0,0.25,1.0,0.75,0.75,0.67,0.5,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.25,0.0,1.0,0.5
41,0.0,0.17,0.33,1.0,1.0,0.0,0.83,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.75,0.75,0.0,1.0,0.25,1.0,0.75,1.0,0.0,0.75,0.0,0.0,1.0,0.75,1.0,0.25,0.25,0.0,1.0,0.75,0.0,0.75,0.75,0.0,1.0,1.0,0.0,0.75,1.0,0.75,1.0,0.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,0.25,0.17,0.67,1.0,0.25,0.25,1.0,0.75,0.75,0.25,0.5,1.0,0.75,0.0,1.0,0.75
44,0.17,0.67,0.83,0.25,0.75,0.0,0.17,0.0,1.0,1.0,1.0,0.0,0.0,0.25,1.0,1.0,0.75,0.25,0.25,0.0,1.0,0.75,0.75,0.25,0.0,0.0,0.0,1.0,0.75,1.0,0.0,0.75,0.75,0.75,0.0,1.0,0.75,0.75,0.25,0.75,1.0,1.0,0.25,1.0,0.75,1.0,0.25,0.75,1.0,0.0,1.0,1.0,1.0,0.75,0.25,0.75,1.0,0.75,0.75,0.75,0.33,0.33,1.0,0.25,1.0,1.0,1.0,0.75,0.5,0.5,0.75,0.5,0.0,0.5,0.25
56,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.75,1.0,1.0,0.0,0.0,1.0,1.0,0.75,1.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.0,0.0,0.0,1.0,0.75,1.0,0.0,1.0,1.0,0.25,0.0,0.25,0.0,0.83,0.83,0.0,1.0,1.0,1.0,0.75,0.0,0.5,1.0,0.75,0.25,0.75,0.25
91,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.25,1.0,0.75,0.75,0.0,0.25,1.0,0.0,0.75,0.0,1.0,1.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,0.75,0.0,0.25,0.0,0.25,1.0,0.25,1.0,0.75,0.25,0.75,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.75,1.0,0.83,0.5,0.67,0.0,1.0,1.0,1.0,0.5,0.25,0.5,0.75,0.5,0.5,0.75,0.5
98,0.67,0.67,0.0,1.0,1.0,0.75,0.33,0.75,1.0,0.75,0.75,0.75,1.0,0.0,1.0,0.75,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.75,0.75,0.75,0.75,1.0,0.75,1.0,1.0,0.75,0.75,1.0,0.25,1.0,0.75,0.75,1.0,0.75,1.0,1.0,0.75,0.25,0.25,1.0,0.75,0.25,0.25,1.0,0.25,1.0,0.25,0.25,1.0,0.75,0.25,0.0,0.75,0.75,0.33,1.0,0.33,0.0,1.0,0.75,1.0,0.25,0.75,0.75,1.0,0.25,0.75,0.75,0.25
108,0.33,0.17,0.0,0.75,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.75,0.0,1.0,1.0,0.75,1.0,1.0,0.25,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.0,0.75,0.0,0.17,1.0,0.0,0.0,1.0,0.0,0.75,0.75,0.75,1.0,1.0,0.25,1.0,1.0
149,1.0,0.0,0.83,0.75,0.0,1.0,0.67,0.0,0.75,0.0,0.0,1.0,0.75,0.0,0.25,1.0,0.75,1.0,0.75,0.0,0.75,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.75,1.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.33,0.33,0.17,0.0,0.75,0.75,0.0,0.75,1.0,0.75,0.75,0.25,0.75,0.25,1.0
159,0.0,0.33,0.0,1.0,1.0,0.0,0.83,0.25,1.0,1.0,0.75,0.0,1.0,0.0,1.0,0.75,1.0,0.75,1.0,0.0,1.0,0.25,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,1.0,0.0,0.75,0.17,0.33,1.0,0.0,0.0,1.0,1.0,0.75,0.25,0.5,0.75,0.75,0.0,1.0,0.5
164,0.17,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.25,1.0,1.0,0.0,0.0,1.0,1.0,0.25,1.0,0.75,0.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.17,0.67,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.5
188,0.83,0.33,0.0,1.0,1.0,0.0,0.17,1.0,1.0,1.0,0.75,0.0,0.25,0.75,1.0,0.75,0.25,1.0,1.0,0.0,1.0,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.75,0.75,0.25,0.0,0.0,1.0,0.25,0.0,0.25,0.75,0.75,0.0,0.25,1.0,0.25,1.0,1.0,1.0,0.25,1.0,0.0,0.75,1.0,0.25,0.75,1.0,0.75,0.75,1.0,0.25,0.75,1.0,0.83,1.0,0.67,0.25,1.0,0.75,1.0,0.75,0.25,0.75,1.0,0.5,0.25,0.75,0.5
225,0.17,0.17,0.0,0.25,1.0,0.0,0.83,0.75,1.0,1.0,1.0,0.0,0.25,0.0,0.75,0.0,1.0,1.0,0.75,0.25,0.25,0.75,1.0,0.0,0.75,0.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,1.0,0.75,1.0,0.0,0.25,0.25,1.0,0.75,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.25,0.33,1.0,0.83,0.0,0.75,1.0,1.0,0.75,0.0,0.5,0.75,0.75,0.25,1.0,0.5
239,0.67,0.0,0.0,0.75,0.25,0.0,0.33,1.0,0.25,0.25,1.0,0.75,0.75,0.75,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.75,1.0,0.0,0.75,0.25,0.25,1.0,0.25,1.0,1.0,0.75,0.25,1.0,0.0,1.0,0.25,0.25,0.75,1.0,0.75,0.75,0.75,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.75,1.0,0.25,0.75,0.75,1.0,0.75,0.25,1.0,0.75,0.83,0.83,0.17,0.0,0.75,1.0,1.0,0.25,0.75,0.75,0.75,0.5,0.5,0.75,0.5
246,1.0,0.17,0.0,0.75,1.0,0.0,0.83,0.75,0.75,0.75,1.0,0.25,1.0,0.75,1.0,0.75,0.25,0.75,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.25,0.25,0.75,0.75,1.0,0.75,0.25,0.0,1.0,0.25,1.0,0.0,0.25,1.0,0.25,0.25,1.0,0.25,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.75,0.75,1.0,1.0,0.67,0.83,0.0,1.0,1.0,1.0,0.5,0.25,0.5,0.75,0.5,0.0,0.5,0.0
314,1.0,0.5,0.67,0.75,0.0,0.25,0.5,0.0,0.75,0.0,0.75,0.75,0.25,0.25,0.75,1.0,0.0,1.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,1.0,0.25,0.25,0.25,0.75,0.75,0.25,0.0,0.25,0.0,0.75,0.0,0.75,0.75,0.75,0.75,1.0,0.75,0.25,0.0,1.0,1.0,0.25,0.0,1.0,0.25,0.0,0.75,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0.83,0.83,0.33,0.0,0.75,0.75,0.75,0.0,0.5,0.75,0.5,0.5,0.75,0.75,0.5
316,0.83,0.5,0.67,1.0,0.25,0.75,0.33,0.25,0.75,0.75,0.0,1.0,0.0,0.0,0.25,1.0,1.0,1.0,0.0,0.0,0.75,0.25,0.0,0.25,0.0,1.0,0.25,1.0,0.75,0.75,1.0,1.0,0.25,0.25,0.25,0.75,0.0,1.0,0.25,1.0,0.75,0.75,1.0,0.75,0.25,1.0,1.0,0.0,0.25,1.0,0.75,0.25,1.0,0.0,0.25,0.0,0.25,0.0,0.75,0.75,0.83,0.83,0.67,0.0,0.25,1.0,1.0,0.0,0.25,0.5,1.0,0.75,0.75,1.0,0.75
